City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity,Maximum Temperature (F),Wind Speed (mph)
pevek,RU,1629350928,69.7008,170.3133,94,58,48.632,6.15
pamekasan,ID,1629351278,-7.1568,113.4746,98,55,86.972,3.34
kouango,CF,1629351278,4.9934,19.9619,80,94,70.322,1.47
alamosa,US,1629351279,37.4695,-105.87,1,59,64.184,4.12
hargeysa,SO,1629351279,9.56,44.065,11,40,79.124,13.57
garm,,,,,,,,
snasa,NO,1629351280,64.2457,12.3778,100,98,51.476,4.56
mercedes,AR,1629351280,-34.6515,-59.4307,100,98,57.308,4.03
buchanan,LR,1629351281,5.8808,-10.0467,40,77,75.308,2.19
piacabucu,BR,1629351281,-10.4056,-36.4344,52,85,73.04,5.1
samalaeulu,,,,,,,,
orito,CO,1629351282,0.6766,-76.8771,94,82,71.492,1.37
asau,RO,1629351282,46.4333,26.4,50,75,64.22,1.05
buala,SB,1629351024,-8.145,159.5921,30,74,83.498,2.63
lipin bor,RU,1629351283,60.2622,37.9763,75,72,62.474,4.29
ilam,NP,1629351284,26.9167,87.9167,100,89,72.068,0.92
meulaboh,ID,1629350899,4.1363,96.1285,93,67,82.562,1.36
toktogul,KG,1629351284,41.8708,72.9402,8,27,78.368,1.54
artyk,,,,,,,,
nabire,ID,1629351036,-3.3667,135.4833,58,69,84.002,2.62
yumen,CN,1629350875,40.2833,97.2,0,17,79.052,3.12
nemuro,JP,1629351095,43.3236,145.575,83,85,72.302,5.76
port lincoln,AU,1629350893,-34.7333,135.8667,83,46,66.65,7.01
barra,BR,1629351286,-11.0894,-43.1417,7,66,69.8,4.63
belaya gora,RU,1629351287,68.5333,146.4167,98,33,68.72,1.91
takhtamygda,RU,1629351287,54.1,123.5667,100,89,68.63,3.37
astara,AZ,1629351288,38.5,48.6667,20,23,73.652,3.06
kyra,RU,1629351288,49.5776,111.9753,100,69,61.142,5.19
chagda,,,,,,,,
dali,CN,1629351289,25.7,100.1833,100,95,64.004,1.6
nioro,GM,1629351289,13.35,-15.75,100,94,74.678,1.57
northam,GB,1629351290,51.0333,-4.2167,77,94,60.692,3.88
sawakin,SD,1629351009,19.1059,37.3321,32,48,94.694,0.91
cornwall,CA,1629351000,45.0181,-74.7281,75,94,73.976,0
wewak,PG,1629351291,-3.5534,143.6268,55,71,84.182,3.61
yulara,AU,1629351108,-25.2406,130.9889,0,9,78.908,4.12
kologriv,RU,1629351292,58.8275,44.3178,58,60,75.416,3.14
tagusao,PH,1629351292,9.1924,117.8141,48,69,85.784,2.82
bollnas,SE,1629351293,61.3482,16.3946,100,97,54.392,4.39
san isidro,PE,1629351293,-12.1167,-77.05,90,91,61.286,0.45
atouguia da baleia,PT,1629351294,39.3381,-9.3263,14,91,62.096,6.41
iskar,BG,1629351294,43.45,24.2667,1,63,64.868,3.09
sorvag,,,,,,,,
havelock,US,1629351295,34.8791,-76.9013,1,91,83.21,2.57
am timan,TD,1629351295,11.0297,20.2827,100,97,69.08,2.84
mapiripan,CO,1629351050,2.8892,-72.1256,100,98,71.546,1.63
bonavista,CA,1629351296,48.6499,-53.1147,90,85,68.27,6.31
sosnovo-ozerskoye,RU,1629351296,52.5249,111.5418,99,71,59.828,3.41
hualmay,PE,1629351103,-11.0964,-77.6139,36,86,61.412,4.71
darhan,MN,1629351297,49.4867,105.9228,52,44,69.746,4.91
robertsport,LR,1629351297,6.7533,-11.3686,50,75,77.846,3.65
iisaku,EE,1629351298,59.1014,27.3081,100,91,56.894,9.27
nalut,LY,1629351298,30.3333,10.85,0,22,83.894,4.5
tazovskiy,RU,1629351052,67.4667,78.7,96,74,46.814,8.55
hirara,JP,1629351299,24.8,125.2833,75,70,88.34,1.54
toora-khem,RU,1629351300,52.4675,96.11,15,33,71.942,2.49
mount gambier,AU,1629351042,-37.8333,140.7667,40,48,64.58,6.69
vasterhaninge,SE,1629351300,59.1167,18.1,76,10,56.102,6.58
griffith,US,1629351301,41.5284,-87.4237,40,93,77.198,0
mecca,SA,1629351303,21.4267,39.8261,3,47,89.798,2.37
hambantota,LK,1629351072,6.1241,81.1185,40,55,92.012,7.72
formoso do araguaia,,,,,,,,
nome,US,1629350983,64.5011,-165.4064,90,81,48.542,4.12
hailey,US,1629351187,43.5196,-114.3153,75,50,53.726,1.54
tyrma,RU,1629351304,50.0833,132.1667,76,38,83.966,1.34
myitkyina,MM,1629351305,25.3833,97.4,100,100,73.742,0.75
sorong,ID,1629350984,-0.8833,131.25,100,75,81.932,1.91
tairua,NZ,1629351305,-37.0167,175.85,15,68,55.364,4.36
joseni,RO,1629351306,46.7,25.5,9,78,56.012,0.85
anar darreh,,,,,,,,
lata,PT,1629351306,40.1629,-8.3327,12,90,58.082,0.71
taltal,CL,1629351307,-25.4,-70.4833,8,67,59.954,1.67
boca do acre,BR,1629351308,-8.7522,-67.3978,60,43,79.376,0.21
richards bay,ZA,1629351308,-28.783,32.0377,52,77,67.91,4.91
waingapu,ID,1629351020,-9.6567,120.2641,59,54,85.874,6.57
halalo,,,,,,,,
toliary,,,,,,,,
omboue,GA,1629351309,-1.5746,9.2618,100,91,73.166,3.53
kainantu,PG,1629351310,-6.2887,145.8655,86,63,72.086,2.45
san andres,CO,1629351311,12.5847,-81.7006,20,83,82.688,2.06
gemena,CD,1629351060,3.25,19.7667,97,95,69.116,0.35
angoche,MZ,1629351294,-16.2325,39.9086,5,71,75.2,2.66
kumluca,TR,1629351312,36.3703,30.2869,0,38,88.916,1.18
karaul,,,,,,,,
rorvik,NO,1629351313,64.8621,11.2373,75,100,52.178,6.17
gamba,GA,1629350931,-2.65,10,100,88,74.048,2.73
kachug,RU,1629351313,53.9606,105.8817,60,48,66.704,3.56
uvalde,US,1629351314,29.3669,-99.767,40,82,84.398,4.63
logan lake,CA,1629351314,50.4998,-120.8025,98,55,68.108,1.79
lakatoro,VU,1629351315,-16.0999,167.4164,31,82,78.908,4.35
murgab,TM,1629351315,37.4966,61.9714,0,32,84.344,3.09
pakxan,LA,1629351316,18.3778,103.6601,88,59,90.95,2.47
khonuu,,,,,,,,
labrea,BR,1629351316,-7.2586,-64.7981,62,53,76.496,1.04
joetsu,JP,1629351317,37.1483,138.2364,94,81,92.678,2.49
resistencia,AR,1629351317,-27.4606,-58.9839,0,38,80.33,5.14
abalak,RU,1629351318,58.1286,68.5944,99,56,67.982,2.33
cherskiy,RU,1629350968,68.75,161.3,7,32,65.696,5.21
bustamante,MX,1629351318,26.5333,-100.5,44,67,82.922,4.44
syracuse,IT,1629351319,37.0881,15.2792,0,66,81.59,4.75
penzance,GB,1629351319,50.1186,-5.5371,99,96,62.078,4.49
iztapa,GT,1629351320,13.9333,-90.7075,90,91,76.838,2.62
skjervoy,NO,1629351320,70.0311,20.9714,100,85,52.25,5.88
palmer,US,1629351321,42.1584,-72.3287,90,78,74.354,0
cockburn harbour,,,,,,,,
bubaque,GW,1629351107,11.2833,-15.8333,100,88,78.008,10.51
suksun,RU,1629351322,57.1431,57.3949,73,41,82.706,4.32
prabumulih,ID,1629351322,-3.45,104.25,95,51,88.322,1.19
kamaishi,JP,1629351323,39.2667,141.8833,75,72,90.824,0.5
kita,ML,1629351323,13.0349,-9.4895,97,96,70.772,1.5
ada,US,1629351324,43.4166,-116.1262,1,53,63.482,4.63
marsa matruh,EG,1629351324,31.3525,27.2453,0,83,79.268,3.6
andros,GR,1629351121,37.8333,24.9333,0,50,84.992,3.58
malkangiri,IN,1629351325,18.35,81.9,98,70,86.36,3.37
agadir,MA,1629351325,30.4202,-9.5982,1,76,68.72,1.9
osypenko,UA,1629351326,46.9136,36.8253,4,45,82.058,2.29
shubarkuduk,KZ,1629351326,49.1447,56.4872,6,16,94.982,3.67
saint anthony,US,1629351033,45.0205,-93.218,1,75,77.324,0.89
mana,GF,1629351327,5.6592,-53.7767,28,89,76.244,3.05
antalaha,MG,1629351327,-14.9003,50.2788,100,93,70.682,2.31
port hueneme,US,1629351328,34.1478,-119.1951,90,83,71.6,0
darnah,LY,1629351328,32.767,22.6367,0,79,80.168,9.38
boguchany,RU,1629351329,58.3814,97.4531,88,40,74.192,3.02
narasannapeta,IN,1629351329,18.4167,84.05,85,65,88.772,6.02
oytal,KZ,1629351330,42.9057,73.2697,0,27,82.49,3.42
kataysk,RU,1629351330,56.289,62.5841,89,43,80.834,2.23
rungata,,,,,,,,
okha,RU,1629351331,53.5739,142.9478,45,59,76.676,2.84
yavatmal,IN,1629351331,20.4,78.1333,100,89,74.858,3.35
shelburne,CA,1629351177,44.0787,-80.2041,100,73,70.034,1.9
puquio,PE,1629351332,-14.7,-74.1333,88,65,50.774,2.5
bhanpuri,IN,1629351333,21.1,80.9167,99,68,85.946,2.76
birin,NP,1629351333,26.8865,88.0718,100,91,65.318,1.55
okhotsk,RU,1629351334,59.3833,143.3,90,85,63.338,4.22
sobolevo,RU,1629351334,54.4299,31.8996,92,66,61.592,3.16
anupgarh,IN,1629351335,29.1911,73.2086,58,24,102.902,4.84
veraval,IN,1629351335,20.9,70.3667,100,78,81.806,4.98
walvis bay,NA,1629351335,-22.9575,14.5053,0,87,48.362,3.09
altay,CN,1629351336,47.8667,88.1167,87,65,68,1.89
khurba,RU,1629351336,50.4072,136.8819,4,39,84.722,5.02
vestmannaeyjar,IS,1629350877,63.4427,-20.2734,100,87,53.996,5
turtas,RU,1629351337,58.9417,69.1325,93,49,71.672,3.25
ghanzi,BW,1629351338,-21.5667,21.7833,0,20,53.78,3.43
loveland,US,1629351283,40.3978,-105.075,1,47,80.186,3.58
popondetta,PG,1629351338,-8.7537,148.2534,40,63,84.83,2.52
napanee,CA,1629351215,44.2501,-76.9494,100,95,71.708,3.77
price,US,1629351339,39.5994,-110.8107,90,94,56.732,2.06
krasnyy chikoy,RU,1629351339,50.3643,108.7512,86,56,64.958,6.19
mindelo,CV,1629351340,16.8901,-24.9804,40,74,80.42,4.63
itarema,BR,1629351062,-2.9248,-39.9167,26,79,77.486,7.96
porto empedocle,IT,1629351340,37.2934,13.5264,0,65,74.984,1.31
chernyshevskiy,RU,1629351341,63.0128,112.4714,96,60,65.156,2.03
bo,,,,,,,,
mumford,GH,1629351067,5.2618,-0.759,87,81,72.356,3.28
bejar,ES,1629351342,40.3864,-5.7634,5,37,46.814,1.67
gravdal,NO,1629351342,68.1214,13.5031,75,100,53.762,4.12
miri,MY,1629351343,4.4148,114.0089,40,89,81.014,3.09
sayat,TM,1629351343,38.7839,63.8803,63,14,86.144,7.56
formosa,AR,1629351344,-26.1775,-58.1781,0,30,78.188,4.04
burns lake,CA,1629351344,54.2331,-125.7533,98,85,51.494,1.38
sagua la grande,CU,1629351344,22.8067,-80.0756,100,84,80.06,4.71
merrill,US,1629351345,45.1805,-89.6835,1,97,64.616,0
broken hill,AU,1629350858,-31.95,141.4333,1,19,67.982,3.6
kegayli,,,,,,,,
punta cardon,VE,1629351346,11.6581,-70.215,50,83,80.474,10.06
fortuna,US,1629350868,40.5982,-124.1573,90,71,61.682,0
rawson,AR,1629350992,-43.3002,-65.1023,97,40,51.206,5.21
fuerte olimpo,PY,1629351347,-21.0415,-57.8738,0,30,74.156,2.52
atar,MR,1629351347,20.5169,-13.0499,76,41,87.17,1.17
narsaq,GL,1629351066,60.9167,-46.05,100,95,46.886,1.78
talaya,RU,1629351348,61.3833,152.75,100,59,65.66,5.69
yenagoa,NG,1629351348,4.9247,6.2642,100,94,73.454,1.33
dawei,MM,1629351349,14.0833,98.2,9,62,87.638,3.36
atambua,ID,1629351109,-9.1061,124.8925,8,51,83.966,1.19
dalvik,IS,1629351079,65.9702,-18.5286,100,86,50.198,0.86
manaus,BR,1629351161,-3.1019,-60.025,0,83,81.356,0
vostok,RU,1629351350,46.4856,135.8833,0,36,80.816,2.81
luang prabang,LA,1629351350,19.8856,102.1347,75,70,88.034,3.09
chontalpa,MX,1629351351,17.7,-93.5167,46,87,76.784,0.92
kudahuvadhoo,MV,1629351352,2.6708,72.8944,99,71,82.562,3.36
bur gabo,,,,,,,,
allanridge,ZA,1629351353,-27.7543,26.6438,0,43,48.56,2.1
svetlaya,RU,1629351068,46.5389,138.3297,18,74,70.034,5.36
luwuk,ID,1629351353,-0.9516,122.7875,52,85,81.464,3.63
lukulu,ZM,1629351354,-14.3707,23.242,0,29,65.984,2.16
kabansk,RU,1629351354,52.0486,106.6528,64,53,68.756,5.2
chara,RU,1629351355,56.9064,118.2631,100,95,56.66,1.39
kavaratti,IN,1629351355,10.5669,72.642,100,78,81.896,7.24
kulu,TR,1629351356,39.0951,33.0799,0,35,76.1,4.04
diego de almagro,CL,1629351356,-26.3667,-70.05,1,44,54.608,0.86
bardiyah,LY,1629351357,31.7561,25.0865,39,78,80.906,7.5
klaksvik,FO,1629350901,62.2266,-6.589,85,77,49.388,7.08
kirensk,RU,1629351357,57.7853,108.1119,98,66,62.258,2.57
chirongui,YT,1629351358,-12.9319,45.1483,58,74,78.998,7.96
diffa,NE,1629351358,13.3154,12.6113,98,73,77.594,5.97
tomatlan,MX,1629351006,19.9333,-105.25,100,94,75.146,1.94
acarau,BR,1629351359,-2.8856,-40.12,17,81,77.396,8.49
nenjiang,CN,1629351360,49.1833,125.2167,97,89,73.094,6.72
porbandar,IN,1629351360,21.6422,69.6093,98,68,83.624,5.19
kudat,MY,1629351361,6.8837,116.8477,40,62,89.798,2.57
san rafael del sur,NI,1629351361,11.8485,-86.4384,99,87,77.108,2.05
bullhead city,US,1629351127,35.1478,-114.5683,75,31,95.558,8.23
vila franca do campo,PT,1629350865,37.7167,-25.4333,65,88,74.084,3
chake chake,TZ,1629351362,-5.2459,39.7666,48,70,78.206,4.29
acari,PE,1629351362,-15.4311,-74.6158,76,71,63.5,1.43
cotacachi,EC,1629351363,0.3,-78.2667,60,89,55.22,1.4
khani,GE,1629351363,41.9563,42.9566,28,43,67.838,1.48
deseronto,CA,1629351364,44.2001,-77.0494,100,94,71.6,4.16
moree,AU,1629351110,-29.4667,149.85,40,46,70.088,4.12
ganzhou,CN,1629351364,28.8184,115.4327,76,73,88.052,1.44
seka,TH,1629351365,17.9285,103.9552,79,55,91.922,2.03
port keats,AU,1629351035,-14.25,129.55,0,53,84.11,5.29
genhe,CN,1629351365,50.7833,121.5167,100,98,61.484,1.76
saquena,PE,1629351366,-4.6667,-73.5167,38,96,72.518,1.15
